BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Auftrag_Typ_5:7	01.10.2020 00:01:48.1669	01.10.2020 01:03:09.0372	1:01:20.8703	0.77	0.23	01.10.2020 01:37:26.5002	64.15			1
Auftrag_Typ_3:11	01.10.2020 00:01:48.6332	01.10.2020 02:54:52.6720	2:53:04.0388	0.02	0.98	01.10.2020 00:34:51.9666	523.56			-5
Auftrag_Typ_6:5	01.10.2020 00:01:48.9642	01.10.2020 01:38:59.4071	1:37:10.4429	0.80	0.20	01.10.2020 02:00:22.2976	81.96			1
Auftrag_Typ_6:6	01.10.2020 00:01:52.9337	01.10.2020 01:45:41.9872	1:43:49.0535	0.48	0.52	01.10.2020 02:00:26.2671	87.57			1
Auftrag_Typ_4:7	01.10.2020 00:01:54.3464	01.10.2020 00:26:50.3872	24:56.0409	0.90	0.10	01.10.2020 00:55:00.6797	46.95			1
Auftrag_Typ_3:12	01.10.2020 00:01:57.2324	01.10.2020 00:07:28.1932	5:30.9608	0.50	0.50	01.10.2020 00:35:00.5658	16.69			1
Auftrag_Typ_1:18	01.10.2020 00:01:57.9053	01.10.2020 00:21:09.1693	19:11.2640	0.19	0.81	01.10.2020 00:34:31.2386	58.94			1
Auftrag_Typ_1:19	01.10.2020 00:01:59.0847	01.10.2020 00:05:39.9153	3:40.8307	0.81	0.19	01.10.2020 00:34:32.4180	11.31			1
Auftrag_Typ_4:8	01.10.2020 00:01:59.4048	01.10.2020 00:56:01.2992	54:01.8944	0.56	0.44	01.10.2020 00:55:05.7381	101.74			-2

Episode3
Auftrag_Typ_1:1	01.10.2020 00:01:00.4324	01.10.2020 00:22:05.4160	21:04.9836	0.24	0.76	01.10.2020 00:33:33.7657	64.76			1
Auftrag_Typ_3:1	01.10.2020 00:01:01.0182	01.10.2020 00:52:40.6032	51:39.5849	0.08	0.92	01.10.2020 00:34:04.3516	156.28			-4
Auftrag_Typ_5:1	01.10.2020 00:01:01.0230	01.10.2020 00:06:19.3268	5:18.3038	0.90	0.10	01.10.2020 01:36:39.3563	5.55			1
Auftrag_Typ_3:2	01.10.2020 00:01:02.0120	01.10.2020 00:13:04.5830	12:02.5711	0.71	0.29	01.10.2020 00:34:05.3453	36.43			1
Auftrag_Typ_5:2	01.10.2020 00:01:02.8132	01.10.2020 00:11:11.6187	10:08.8056	0.80	0.20	01.10.2020 01:36:41.1465	10.61			1
Auftrag_Typ_3:3	01.10.2020 00:01:03.1968	01.10.2020 00:15:27.0241	14:23.8273	0.16	0.84	01.10.2020 00:34:06.5301	43.55			1
Auftrag_Typ_5:3	01.10.2020 00:01:04.6233	01.10.2020 00:35:22.6930	34:18.0697	0.29	0.71	01.10.2020 01:36:42.9567	35.87			1
Auftrag_Typ_3:4	01.10.2020 00:01:04.7730	01.10.2020 00:04:37.8863	3:33.1133	1.00	0.00	01.10.2020 00:34:08.1064	10.75			1
Auftrag_Typ_5:4	01.10.2020 00:01:04.7874	01.10.2020 01:09:52.2630	1:08:47.4757	0.71	0.29	01.10.2020 01:36:43.1207	71.93			1
Auftrag_Typ_5:5	01.10.2020 00:01:04.9241	01.10.2020 00:07:39.2200	6:34.2959	0.91	0.09	01.10.2020 01:36:43.2574	6.87			1
Auftrag_Typ_1:2	01.10.2020 00:01:05.5257	01.10.2020 01:49:54.7636	1:48:49.2379	0.07	0.93	01.10.2020 00:33:38.8591	334.26			-5
Auftrag_Typ_3:5	01.10.2020 00:01:05.5744	01.10.2020 00:31:12.9241	30:07.3497	0.19	0.81	01.10.2020 00:34:08.9077	91.13			10
Auftrag_Typ_3:6	01.10.2020 00:01:05.6092	01.10.2020 00:50:32.0832	49:26.4740	0.08	0.92	01.10.2020 00:34:08.9425	149.57			-3
Auftrag_Typ_1:3	01.10.2020 00:01:05.6870	01.10.2020 01:27:42.0908	1:26:36.4038	0.03	0.97	01.10.2020 00:33:39.0204	266.03			-5
Auftrag_Typ_1:4	01.10.2020 00:01:05.8863	01.10.2020 00:17:41.3031	16:35.4168	0.41	0.59	01.10.2020 00:33:39.2197	50.96			1
Auftrag_Typ_1:5	01.10.2020 00:01:07.3701	01.10.2020 01:10:07.5630	1:09:00.1929	0.07	0.93	01.10.2020 00:33:40.7034	211.96			-5
Auftrag_Typ_3:7	01.10.2020 00:01:07.4181	01.10.2020 00:47:10.7632	46:03.3450	0.06	0.94	01.10.2020 00:34:10.7515	139.33			-3
Auftrag_Typ_1:6	01.10.2020 00:01:07.6666	01.10.2020 00:39:33.1330	38:25.4664	0.17	0.83	01.10.2020 00:33:40.9999	118.03			-3
Auftrag_Typ_3:8	01.10.2020 00:01:07.8324	01.10.2020 01:43:38.0168	1:42:30.1844	0.04	0.96	01.10.2020 00:34:11.1657	310.09			-5
Auftrag_Typ_6:1	01.10.2020 00:01:10.6669	01.10.2020 00:47:57.0831	46:46.4162	0.86	0.14	01.10.2020 01:59:44.0002	39.45			1
Auftrag_Typ_3:9	01.10.2020 00:01:12.4167	01.10.2020 00:52:45.6390	51:33.2222	0.11	0.89	01.10.2020 00:34:15.7501	155.96			-4
Auftrag_Typ_5:6	01.10.2020 00:01:13.1835	01.10.2020 01:07:08.1639	1:05:54.9803	0.75	0.25	01.10.2020 01:36:51.5169	68.92			1
Auftrag_Typ_1:7	01.10.2020 00:01:15.6456	01.10.2020 00:08:56.3031	7:40.6575	0.80	0.20	01.10.2020 00:33:48.9790	23.58			1
Auftrag_Typ_4:1	01.10.2020 00:01:16.7315	01.10.2020 01:40:42.0708	1:39:25.3393	0.13	0.87	01.10.2020 00:54:23.0648	187.22			-5
Auftrag_Typ_4:2	01.10.2020 00:01:18.3671	01.10.2020 00:53:43.0324	52:24.6653	0.49	0.51	01.10.2020 00:54:24.7004	98.69			10
Auftrag_Typ_3:10	01.10.2020 00:01:20.0748	01.10.2020 00:25:42.1862	24:22.1114	0.25	0.75	01.10.2020 00:34:23.4081	73.72			1
